Most Predictive Words (Non-Malicious),Probability Ratios (Non-Malicious),Most Predictive Words (Malicious),Probability Ratios (Malicious)
;,60.49921647638236,prize,99.05086956521738
...,57.4957092754272,tone,64.09173913043477
gt,54.06312961719275,£,49.71965217391304
lt,53.548242668457576,select,46.61217391304348
:),47.88448623237072,claim,45.96478260869565
ü,31.922990821580477,paytm,36.901304347826084
lor,28.833669129169465,code,34.95913043478261
hope,24.714573539288114,award,32.04586956521739
ok,24.714573539288114,won,31.074782608695653
d,21.110364898141928,18,29.13260869565217
